enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
AP,apPaymentData,linePaymentLineAmountCurrencyAmount,,NUMERIC,decimal,"Transaction monetary amount in local currency."
AP,apPaymentData,linePaymentLineAmountCurrencyCode,,TEXT,string,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
AP,apPaymentData,linePaymentLineAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AP,apPaymentData,lineSettlementCurrencyAmount,,NUMERIC,decimal,Amount in foreign currency
AP,apPaymentData,lineSettlementCurrencyCode,,TEXT,string,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
AP,apPaymentData,lineSettlementPaymentMechanism,,TEXT,string,Payment mechanism 
AP,apPaymentData,lineSettlementSettlementAmount,,NUMERIC,decimal,In the header's default currency.
AP,apPaymentData,lineSettlementSettlementAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AP,apPaymentData,lineSettlementSettlementDate,,DATE,date,Date settled
AP,apPaymentData,lineSettlementSettlementDiscount,,NUMERIC,decimal,Description Settlement / Other Discount 
AP,apPaymentData,lineSourceDocumentId,,TEXT,string,The source document to which the line relates
AP,apPaymentData,lineSupplierId,supplierMasterData.supplierId,TEXT,string,"Identifier of the supplier to whom paymentis due or from whom unused credits havebeen applied. Must match theSupplier_Account_ID in theSupplier_Listing_YYYYMMDD file."
AP,apPaymentData,lineSystemEntryDateTime,,DATE,date,"The date the transaction was entered into thesystem. This is sometimes referred to as the creation date. This should be a system-generated date (rather than user-entereddate), when possible. This date does not necessarily correspond with the date of the transaction itself."
AP,apPaymentData,lineSystemEntryUser,userListing.userId,TEXT,string,"User_ID (from User_Listing file) for person who created the record."
AP,apPaymentData,lineTaxInformationTaxAmount,,NUMERIC,decimal,In the header's default currency.
AP,apPaymentData,lineTaxInformationTaxAmountCurrencyAmount,,NUMERIC,decimal,Amount in foreign currency
AP,apPaymentData,lineTaxInformationTaxAmountCurrencyCode,,TEXT,string,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
AP,apPaymentData,lineTaxInformationTaxAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AP,apPaymentData,lineTaxInformationTaxBase,,TEXT,string,"The base on which the tax is calculated. This can be an amount, or a quantity, eg. Litres."
AP,apPaymentData,lineTaxInformationTaxBaseDescription,,TEXT,string,Description of the value in the TaxBase. Eg. Litres for excises on alcoholic bevarages.
AP,apPaymentData,lineTaxInformationTaxCode,,TEXT,string,Tax Code for lookup in tables
AP,apPaymentData,lineTaxInformationTaxDeclarationPeriod,,TEXT,string,The identification of the declaration/return in which the taxamount is reported to the Revenue body
AP,apPaymentData,lineTaxInformationTaxExemptionReason,,TEXT,string,Tax exemption or reduction reason or rationale 
AP,apPaymentData,lineTaxInformationTaxPercentage,,NUMERIC,decimal,Tax percentage.
AP,apPaymentData,lineTaxInformationTaxType,,TEXT,string,Tax type for look-up in tables
AP,apPaymentData,lineTaxPointDate,,DATE,date,Tax Point date where recorded or if not recorded then the Invoice date 
AP,apPaymentData,paymentId,,TEXT,string,"Unique identifier for each payment received. This ID may need to be created by concatenating fields (for example, customer and payment number) to uniquely identify each transaction."
AP,apPaymentData,paymentMethod,,TEXT,string,"The code value or indicator of the method bywhich the transaction debit or credit amountwas extinguished or apportioned to the debtby the supplier (for example, check, wiretransfer, cash, and so on). Must match thePayment_Type in thePayment_Type_Listing_YYYYMMDD file."
AP,apPaymentData,paymentRefNo,,TEXT,string,"Unique identifier for each payment made. This ID may need to be created by concatenating fields (for example, supplier and payment number) to uniquely identify each transaction."
AP,apPaymentData,period,,TEXT,string,"Fiscal period in which the Effective_Date occurs.Examples include W1‚ÄìW53 for weekly periods, M1‚ÄìM12 for monthly periods, and Q1‚ÄìQ4 for quarterly periods."
AP,apPaymentData,periodYear,,TEXT,string,"Fiscal year in which thePurchase_Order_Date occursâ€”YYYY fordelimited, CCYY-MM-DD fiscal year end(ISO 8601) for extensible business reportinglanguage global ledger taxonomy framework(XBRL GL)."
AP,apPaymentData,postingStatus,,TEXT,string,"Status of the transaction's posting to the GL(for example, ""Posted,"" ""Not Posted"")."
AP,apPaymentData,referenceDate,,DATE,date,"Date on an externally generated transaction(for example, check date or wire transferdate)."
AP,apPaymentData,referenceNumber,,TEXT,string,"Identification number for an internally orexternally generated transaction (forexample, check number, wire transfernumber, or original document ID)."
AP,apPaymentData,segment01,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AP,apPaymentData,segment02,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AP,apPaymentData,segment03,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AP,apPaymentData,segment04,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AP,apPaymentData,segment05,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AP,apPaymentData,sourceId,sourceListing.sourceId,TEXT,string,"Posting source (code for source from which the journal entry originated, such as sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, spreadsheet, and so on)."
AP,apPaymentData,systemEntryDateTime,,DATE,date,"The date the transaction was entered into thesystem. This is sometimes referred to as the creation date. This should be a system-generated date (rather than user-entereddate), when possible. This date does not necessarily correspond with the date of the transaction itself."
AP,apPaymentData,systemEntryUser,,TEXT,string,"User_ID (from User_Listing file) for personwho created the record."
AP,apPaymentData,systemId,,TEXT,string,Unique number created by the system for the document
AP,apPaymentData,transactionDate,,DATE,date,The date the payment was made or credit was applied.
AP,apPaymentData,transactionId,,TEXT,string,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department"
AR,arPaymentData,approvedBy,userListing.userId,TEXT,string,User ID (from User_Listing file) for person who approved the entry.
AR,arPaymentData,approvedDateTime,,DATE,date,The DateTime the entry was approved.
AR,arPaymentData,batchId,,TEXT,string,Systems generated ID for batch
AR,arPaymentData,businessUnitCode,businessUnit.businessUnitCode,TEXT,string,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC) 280, Segment Reporting."
AR,arPaymentData,description,,TEXT,string,Description of the payment.
AR,arPaymentData,glCreditAccountNumber,chartOfAccounts.glAccountNumber,TEXT,string,"GL account number on which the credit side of the transaction has been posted."
AR,arPaymentData,glDebitAccountNumber,chartOfAccounts.glAccountNumber,TEXT,string,"GL account number on which the debit side of the transaction has been posted."
AR,arPaymentData,lastModifiedBy,userListing.userId,TEXT,string,User_ID (from User_Listing file) for the last person modifying this entry.
AR,arPaymentData,lastModifiedDateTime,,DATE,date,The date and time the entry was last modified before posting.
AR,arPaymentData,lineAccountId,,TEXT,string,"General Ledger Account code of the GL-revenue-account. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
AR,arPaymentData,lineAnalysisAmountCurrencyAmount,,NUMERIC,decimal,"Transaction monetary amount in loca lcurrency."
AR,arPaymentData,lineAnalysisAnalysisAmount,,NUMERIC,decimal,"The functional or group currency related tothe receipt amount. See ISO 4217 coding."
AR,arPaymentData,lineAnalysisAnalysisAmountCurrencyCode,,TEXT,string,"Transaction monetary amount recorded in the reporting currency."
AR,arPaymentData,lineAnalysisAnalysisAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AR,arPaymentData,lineAnalysisAnalysisAmountLocalCurrency,,NUMERIC,decimal,"The currency for local reporting requirements. See ISO 4217 coding."
AR,arPaymentData,lineAnalysisAnalysisId,,TEXT,string,"Analysis ID: e.g. 1200-HDOF-TR (for cost center treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)"
AR,arPaymentData,lineAnalysisAnalysisIdDescription,,TEXT,string,"Description of the AnalysisID: e.g. ""Headoffice-Treasury""."
AR,arPaymentData,lineAnalysisAnalysisType,,TEXT,string,"Analysis type identifier: e.g. CC (for Cost Center), DEP (for department), etc"
AR,arPaymentData,lineAnlaysisTypeDescription,,TEXT,string,"Description of the AnalysisType, e.g. ""Cost Center"""
AR,arPaymentData,lineApprovedBy,userListing.userId,TEXT,string,"User ID (from User_Listing file) for person who approved the entry."
AR,arPaymentData,lineApprovedDateTime,,DATE,date,The date and time the entry was approved.
AR,arPaymentData,lineBusinessUnitCode,businessUnit.businessUnitCode,TEXT,string,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business_Unit_Code in the Business_Unit_Listing file."
AR,arPaymentData,lineCustomerId,customerMasterData.customerId,TEXT,string,Unique code for the customer 
AR,arPaymentData,lineDebitCreditIndicator,,TEXT,string,Indicates whether the amounts on line-level are debit or credit amounts. Entry must correspond to entry reflected in General Ledger Entry. Signing of line amounts is relative to this indicator. E.g. a return can lead to a negative amount
AR,arPaymentData,lineDescription,,TEXT,string,Description of Invoice Line.
AR,arPaymentData,lineLastModifiedBy,userListing.userId,TEXT,string,"User_ID (from User_Listing file) for the lastperson modifying this entry."
AR,arPaymentData,lineLastModifiedDateTime,,DATE,date,The date and time the entry was last modified.
AR,arPaymentData,lineLineNumber,,TEXT,string,Line item number of the invoice.
AR,arPaymentData,linePaymentAmountLocalCurrencyCode,,TEXT,string,"The currency for local reportingrequirements. See ISO 4217 coding."
AR,arPaymentData,linePaymentAmountReporting,,NUMERIC,decimal,"Transaction monetary amount recorded inthe reporting currency."
AR,arPaymentData,linePaymentAmountReportingCurrency,,NUMERIC,decimal,"The reporting currency related to thepayment amount for nonconsolidatedreporting. See ISO 4217 coding."
AR,arPaymentData,linePaymentLineAmount,,NUMERIC,decimal,"Transaction monetary amount recorded inthe functional or group currency. No multicurrency translation should need to beperformed on this amount because all transactions should be recorded in a single currency."
AR,arPaymentData,linePaymentLineAmountCurrencyAmount,,NUMERIC,decimal,"Transaction monetary amount in local currency."
AR,arPaymentData,linePaymentLineAmountCurrencyCode,,TEXT,string,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
AR,arPaymentData,linePaymentLineAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AR,arPaymentData,lineSettlementCurrencyAmount,,NUMERIC,decimal,Amount in foreign currency
AR,arPaymentData,lineSettlementCurrencyCode,,TEXT,string,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
AR,arPaymentData,lineSettlementPaymentMechanism,,TEXT,string,Payment mechanism 
AR,arPaymentData,lineSettlementSettlementAmount,,NUMERIC,decimal,In the header's default currency.
AR,arPaymentData,lineSettlementSettlementAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AR,arPaymentData,lineSettlementSettlementDate,,DATE,date,Date settled
AR,arPaymentData,lineSettlementSettlementDiscount,,NUMERIC,decimal,Description Settlement / Other Discount 
AR,arPaymentData,lineSourceDocumentId,,TEXT,string,The source document to which the line relates
AR,arPaymentData,lineSupplierId,supplierMasterData.supplierId,TEXT,string,"Identifier of the supplier to whom paymentis due or from whom unused credits havebeen applied. Must match theSupplier_Account_ID in theSupplier_Listing_YYYYMMDD file."
AR,arPaymentData,lineSystemEntryDateTime,,DATE,date,"The date the transaction was entered into thesystem. This is sometimes referred to as the creation date. This should be a system-generated date (rather than user-entereddate), when possible. This date does not necessarily correspond with the date of the transaction itself."
AR,arPaymentData,lineSystemEntryUser,userListing.userId,TEXT,string,"User_ID (from User_Listing file) for person who created the record."
AR,arPaymentData,lineTaxInformationTaxAmount,,NUMERIC,decimal,In the header's default currency.
AR,arPaymentData,lineTaxInformationTaxAmountCurrencyAmount,,NUMERIC,decimal,Amount in foreign currency
AR,arPaymentData,lineTaxInformationTaxAmountCurrencyCode,,TEXT,string,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
AR,arPaymentData,lineTaxInformationTaxAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AR,arPaymentData,lineTaxInformationTaxBase,,TEXT,string,"The base on which the tax is calculated. This can be an amount, or a quantity, eg. Litres."
AR,arPaymentData,lineTaxInformationTaxBaseDescription,,TEXT,string,Description of the value in the TaxBase. Eg. Litres for excises on alcoholic bevarages.
AR,arPaymentData,lineTaxInformationTaxCode,,TEXT,string,Tax Code for lookup in tables
AR,arPaymentData,lineTaxInformationTaxDeclarationPeriod,,TEXT,string,The identification of the declaration/return in which the taxamount is reported to the Revenue body
AR,arPaymentData,lineTaxInformationTaxExemptionReason,,TEXT,string,Tax exemption or reduction reason or rationale 
AR,arPaymentData,lineTaxInformationTaxPercentage,,NUMERIC,decimal,Tax percentage.
AR,arPaymentData,lineTaxInformationTaxType,,TEXT,string,Tax type for look-up in tables
AR,arPaymentData,lineTaxPointDate,,DATE,date,Tax Point date where recorded or if not recorded then the Invoice date 
AR,arPaymentData,paymentId,,TEXT,string,"Unique identifier for each payment received. This ID may need to be created by concatenating fields (for example, customer and payment number) to uniquely identify each transaction."
AR,arPaymentData,paymentMethod,,TEXT,string,"The code value or indicator of the method bywhich the transaction debit or credit amountwas extinguished or apportioned to the debtby the supplier (for example, check, wiretransfer, cash, and so on). Must match thePayment_Type in thePayment_Type_Listing_YYYYMMDD file."
AR,arPaymentData,paymentRefDate,,DATE,date,"Date on an externally generated transaction(for example, check date or wire transferdate)."
AR,arPaymentData,paymentRefNo,,TEXT,string,"Unique identifier for each payment made. This ID may need to be created by concatenating fields (for example, supplier and payment number) to uniquely identify each transaction."
AR,arPaymentData,period,,TEXT,string,"Fiscal period in which the Effective_Date occurs.Examples include W1‚ÄìW53 for weekly periods, M1‚ÄìM12 for monthly periods, and Q1‚ÄìQ4 for quarterly periods."
AR,arPaymentData,periodYear,,TEXT,string,"Fiscal year in which thePurchase_Order_Date occursâ€”YYYY fordelimited, CCYY-MM-DD fiscal year end(ISO 8601) for extensible business reportinglanguage global ledger taxonomy framework(XBRL GL)."
AR,arPaymentData,postingStatus,,TEXT,string,"Status of the transaction's posting to the GL(for example, ""Posted,"" ""Not Posted"")."
AR,arPaymentData,receiptAmountReporting,,NUMERIC,decimal,"Transaction monetary amount recorded inthe reporting currency."
AR,arPaymentData,receiptAmountReportingCurrency,,NUMERIC,decimal,"The reporting currency related to the receiptamount for nonconsolidated reporting. SeeISO 4217 coding."
AR,arPaymentData,receiptId,,TEXT,string,"Unique identifier for each payment received. This ID may need to be created by concatenating fields (for example, customer and payment number) to uniquely identify each transaction."
AR,arPaymentData,referenceDate,,DATE,date,"Date on an externally generated transaction(for example, check date or wire transferdate)."
AR,arPaymentData,referenceNumber,,TEXT,string,"Identification number for an internally orexternally generated transaction (forexample, check number, wire transfernumber, or original document ID)."
AR,arPaymentData,segment01,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AR,arPaymentData,segment02,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AR,arPaymentData,segment03,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AR,arPaymentData,segment04,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AR,arPaymentData,segment05,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AR,arPaymentData,sourceId,sourceListing.sourceId,TEXT,string,"Posting source (code for source from which the journal entry originated, such as sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, spreadsheet, and so on)."
AR,arPaymentData,systemEntryDateTime,,DATE,date,"The date the transaction was entered into thesystem. This is sometimes referred to as the creation date. This should be a system-generated date (rather than user-entereddate), when possible. This date does not necessarily correspond with the date of the transaction itself."
AR,arPaymentData,systemEntryUser,userListing.userId,TEXT,string,"User_ID (from User_Listing file) for personwho created the record."
AR,arPaymentData,systemId,,TEXT,string,Unique number created by the system for the document
AR,arPaymentData,transactionDate,,DATE,date,The date the payment was made or credit was applied.
AR,arPaymentData,transactionId,,TEXT,string,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department"
GL,bankAccountMasterData,bankAccountId,,TEXT,string,Unambiguous identification of the account to which credit and debit entries are made.
GL,bankAccountMasterData,bankAccountNumber,,TEXT,string,The number allocated to the account by the individual’s or company’s own bank.
GL,bankAccountMasterData,bankAccountSubType,,TEXT,string,Specifies the sub type of account (product family group).
GL,bankAccountMasterData,bankAccountType,,TEXT,string,Specifies the type of account (personal or business).
GL,bankAccountMasterData,bankSortCode,,TEXT,string,The bank sort code
GL,bankAccountMasterData,IBAN,,TEXT,string,The International Bank Account Number
GL,businessUnit,businessUnitCode,,TEXT,string,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC) 280, Segment Reporting."
GL,businessUnit,businessUnitDescription,,TEXT,string,Business unit (plain English) description to indicate the name or other identifying characteristics of the business unit.
GL,businessUnit,businessUnitHierarchy1,,TEXT,string,"If a hierarchy exists in the business unit structure, use the field to capture the highest level of the hierarchy (for example, global area with values such as North America, South America, Europe, the Middle East, Africa, the Far East, and so on)."
GL,businessUnit,businessUnitHierarchy2,,TEXT,string,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, regions with values such as East Coast, West Coast, Central-Western Europe, and so on)."
GL,businessUnit,businessUnitHierarchy3,,TEXT,string,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, cities with values such as Los Angeles, Boston, Frankfurt, and so on)."
GL,businessUnit,businessUnitHierarchy4,,TEXT,string,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy."
GL,businessUnit,businessUnitHierarchy5,,TEXT,string,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy."
GL,businessUnit,legalEntityIdentifier,,TEXT,string,
GL,chartOfAccounts,accountSubtype,,TEXT,string,"Grouping for lower-level categories on the financial statements. Examples include reserve account, suspense account, intercompany account, and so on."
GL,chartOfAccounts,accountType,,TEXT,string,"Grouping for high-level category on the financial statements. Values should be assets, liabilities, equity, revenue, expenses, and so on."
GL,chartOfAccounts,businessUnitCode,businessUnit.businessUnitCode,TEXT,string,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC) 280, Segment Reporting."
GL,chartOfAccounts,fsCaption,,TEXT,string,"Financial statement caption. Groupingfor the caption the GL account rolls upto on the financial statements (forexample, cash and cash equivalents,accounts payable, cost of sales, and soon). Sometimes may prefer to be at thetrial balance level."
GL,chartOfAccounts,glAccountDescription,,TEXT,string,"Label or description associated withGL_Account_Number."
GL,chartOfAccounts,glAccountName,,TEXT,string,Name for the GL account.
GL,chartOfAccounts,glAccountNumber,,TEXT,string,Identifier for the GL financial quarterly periods. GL_Account_Number in this file must match the GL_Account_Number used in the Trial_Balance and Chart_Of_Accounts files.
GL,chartOfAccounts,parentglAccountNumber,,TEXT,string,"A reference to theGL_Account_Number that is the parentin an account hierarchy. Provided toallow more than the predefined levels ofhierarchy in the chart of accounts table."
GL,chartOfAccounts,segment01,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
GL,chartOfAccounts,segment02,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
GL,chartOfAccounts,segment03,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
GL,chartOfAccounts,segment04,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
GL,chartOfAccounts,segment05,segmentListing.segment0XValue,TEXT,string,"Reserved segment field that can be used for profit center, division, fund, program,branch, project, and so on."
AR,customerMasterData,addressAddressType,,TEXT,string,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (examples: StreetAddress PostalAddress, BillingAddress)"
AR,customerMasterData,addressBuilding,,TEXT,string,The physical street address line 2 of the supplier.
AR,customerMasterData,addressCity,,TEXT,string,The physical city where the customer is located.
AR,customerMasterData,addressCountry,,TEXT,string,"The country code where the supplier isphysically located. Recommend ISO 3166-1Alpha 2 or ISO 3166-1 Alpha 3 format (XX orXXX)."
AR,customerMasterData,addressNumber,,TEXT,string,The physical street address line 1 of the supplier.
AR,customerMasterData,addressPostalCode,,TEXT,string,The zip code of the city where the customer is physically located.
AR,customerMasterData,addressRegion,,TEXT,string,The physical state or province where the customer is located. Recommend ISO 3166-2.
AR,customerMasterData,addressStreetName,,TEXT,string,The physical Street where the customer is located.
AR,customerMasterData,bankAccountId,bankAccountMasterData.bankAccountId,TEXT,string,Unambiguous identification of the account to which credit and debit entries are made.
AR,customerMasterData,bankAccountName,,TEXT,string,The name of the individual or company holding the bank account.
AR,customerMasterData,bankAccountNumber,,TEXT,string,The number allocated to the account by the individual’s or company’s own bank.
AR,customerMasterData,companyType,,TEXT,string,
AR,customerMasterData,customerAccountId,,TEXT,string,Identifier of the customer from whom payment is expected or to whom unused credits have been applied.
AR,customerMasterData,customerCreditLimit,,TEXT,string,"The credit limit for this customer‚Äôs totaloutstanding balance."
AR,customerMasterData,customerGroup,,TEXT,string,The physical street address line 1 of the customer.
AR,customerMasterData,customerId,,TEXT,string,"Unique code for the customer "
AR,customerMasterData,customerType,,TEXT,string,The type of customer
AR,customerMasterData,effectiveDate,,DATE,date,Date the customer declared active.
AR,customerMasterData,email,,TEXT,string,Email address of the primary contact.
AR,customerMasterData,expirationDate,,DATE,date,Date the customer was declared inactive.
AR,customerMasterData,fax,,TEXT,string,
AR,customerMasterData,firstName,,TEXT,string,The first (given) name of the person.
AR,customerMasterData,IBANNumber,,TEXT,string,"International Bank Account Number, ISO 13616"
AR,customerMasterData,lastName,,TEXT,string,The last (family) name of the person.
AR,customerMasterData,legalEntityIdentifier,,TEXT,string,
AR,customerMasterData,name,,TEXT,string,The name of the supplier.
AR,customerMasterData,paymentDiscountDays,,TEXT,string,"The number of days from the invoice datethe supplier allows to take advantage ofdiscounted terms. Terms are represented asdigits with no decimal places (for example,nnn)."
AR,customerMasterData,paymentDiscountPercentage,,NUMERIC,decimal,"The discount percentage the supplier mayprovide if an invoice is paid before a certainnumber of days. In the flat file, terms arerepresented as digits to one decimal place(for example, 10% would be represented as10.0). In extensible business reportinglanguage global ledger taxonomy framework(XBRL GL), the three fieldsTerms_Discount_Percentage,Terms_Discount_Days andTerms_Due_Days would be entered in theform ""xx.x% dd Net dd,"" such as 2% 10 Net30 for 2% discount if paid within 10 days,with the net due in 30 days."
AR,customerMasterData,paymentDueDays,,TEXT,string,"The number of days allowed to meet theobligation before an invoice becomesoverdue."
AR,customerMasterData,registrationNumber,,TEXT,string,"Unique number to identify the company in the accounting records, issued by a government authority or created by the company for internal purposes to identify different entities within their corporate group."
AR,customerMasterData,selfBillingIndicator,,TEXT,string,Indicator showing if a self-billing agreement exists between the customer and the supplier
AR,customerMasterData,sortCode,,TEXT,string,Identifier for the bank branch at which the account is held. May be needed to uniquely identify the account.
AR,customerMasterData,systemApprovedDateTime,,DATE,date,The date  and time the entry was approved.
AR,customerMasterData,systemApprovedUser,userListing.userId,TEXT,string,"User ID (from User_Listing file) for personwho approved the entry."
AR,customerMasterData,systemEntryDateTime,,DATE,date,"The date the transaction was entered into thesystem. This is sometimes referred to as the creation date. This should be a system-generated date (rather than user-entereddate), when possible. This date does not necessarily correspond with the date of the transaction itself."
