,,Duplicates,enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2,PeriodEndYear,#N/A,GL,Header,SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2PeriodEndYear,,TEXT,String,The Accounting year in which the period falls.
SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2,PeriodStart,#N/A,GL,Header,SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2PeriodStart,,TEXT,String,The first Accounting Period covered by the SAF
SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2,PeriodStartYear,#N/A,GL,Header,SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2PeriodStartYear,,TEXT,String,The accounting period covered by the SAF.
SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 1,SelectionEndDate,#N/A,GL,Header,SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 1SelectionEndDate,,DATE,Date,The End date for the reporting period covered by the SAF.
SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 1,SelectionStartDate,#N/A,GL,Header,SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 1SelectionStartDate,,DATE,Date,The Start date for the reporting period covered by the SAF.
SelectionCriteria,CompanyEntity,#N/A,GL,Header,SelectionCriteriaCompanyEntity,,TEXT,String,For use where data has been extracted from the full data set by reference to a specific corporate entity.
SelectionCriteria,DocumentType,#N/A,GL,Header,SelectionCriteriaDocumentType,,TEXT,String,Type of documents selected. For use where the data has been restricted by reference to particular transaction types.
SelectionCriteria,OtherCriteria…,#N/A,GL,Header,SelectionCriteriaOtherCriteria…,,TEXT,String,Any other criteria used in selecting data. Individual Revenue Bodies may wish to draw up a list of other acceptable selection criteria for use within their jurisdiction.
SelectionCriteria,TaxReportingJurisdiction,#N/A,GL,Header,SelectionCriteriaTaxReportingJurisdiction,,TEXT,String,Identifies the tax jurisdiction for whose purpose the SAF has been created. Principally for use where a single Revenue body covers more than one territory.
,TaxEntity,#N/A,GL,Header,TaxEntity,,TEXT,String,Company/Division/Branch reference
,DefaultCurrencyCode,#N/A,GL,Header,DefaultCurrencyCode,,TEXT,String,Three letter Currency Code (ISO 4217) of local currency which is default for the SAF.
,AuditFileCountry,#N/A,GL,Header,AuditFileCountry,,TEXT,String,Two-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for Netherlands
,HeaderComment,#N/A,GL,Header,HeaderComment,,TEXT,String,Space for any further generic comments on the SAF-T. Revenue Bodies should consider what information they would expect to see here.
,Other…,#N/A,GL,Header,Other…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
,TaxAccountingBasis,#N/A,GL,Header,TaxAccountingBasis,,TEXT,String,"Invoice Accounting, Cash Accounting, Delivery, other….."
,AuditFileDateCreated,#N/A,GL,Header,AuditFileDateCreated,,DATE,Date,Date of production of SAF-T.
,AuditFileRegion,#N/A,GL,Header,AuditFileRegion,,TEXT,String,Country specific code to indicate regions/ provinces within tax authority. Preferably described according to ISO 3166-2. Ex GB-KEN for Kent country in the United Kingdom.
,AuditFileVersion,#N/A,GL,Header,AuditFileVersion,,TEXT,String,Identification of the Standard Audit File SAF-T version being used
,SoftwareCompanyName,#N/A,GL,Header,SoftwareCompanyName,,TEXT,String,Name of software company whose product created the SAF-T.
,SoftwareID,#N/A,GL,Header,SoftwareID,,TEXT,String,Name of the software that generated the SAF-T.
,SoftwareVersion,#N/A,GL,Header,SoftwareVersion,,TEXT,String,Version of the software that created the SAF-T.
AnalysisTypeTableAnalysisTypeTableEntry,AnalysisID,#N/A,GL,MasterFiles,AnalysisTypeTableAnalysisTypeTableEntryAnalysisID,,TEXT,String,"Analysis ID: e.g 1200-HDOF-TR (For cost centre treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)"
AnalysisTypeTableAnalysisTypeTableEntry,AnalysisIDDescription,#N/A,GL,MasterFiles,AnalysisTypeTableAnalysisTypeTableEntryAnalysisIDDescription,,TEXT,String,"Description of the AnalysisID; eg ""Headoffice-treasury"""
AnalysisTypeTableAnalysisTypeTableEntry,AnalysisType,#N/A,GL,MasterFiles,AnalysisTypeTableAnalysisTypeTableEntryAnalysisType,,TEXT,String,Analysis type identifier. E.g CC (for cost centre) DEP for department) et.
AnalysisTypeTableAnalysisTypeTableEntry,AnalysisTypeDescription,#N/A,GL,MasterFiles,AnalysisTypeTableAnalysisTypeTableEntryAnalysisTypeDescription,,TEXT,String,"Description of Analysis Type, e.g cost centre"
Assets AssetSupplierPostalAddress,PostalCode,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressPostalCode,,TEXT,String,Post Code or Zip Code
Assets AssetSupplierPostalAddress,Country,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
Assets AssetValuationsValuationExtraordinaryDepreciationForPeriod,ExtroadinaryDepreciationMethod,#N/A,FA,MasterFiles,Assets AssetValuationsValuationExtraordinaryDepreciationForPeriodExtroadinaryDepreciationMethod,,TEXT,String,Method of extroadinary depreciation during the selection period.
Assets AssetSupplierPostalAddress,Region,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
Assets Asset,AccountID,accountId,FA,MasterFiles,Assets AssetAccountID,,TEXT,String,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the account. It could include cost centres such as company, division, region, group and branch/department."
Assets AssetValuationsValuation,AccumulatedDepreciation,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAccumulatedDepreciation,,NUMERIC,Decimal,Total amount of depreciation for this asset
Assets AssetValuationsValuation,AcquisitionAndProductionCostsBegin,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAcquisitionAndProductionCostsBegin,,NUMERIC,Decimal,Total costs of acquisition and/or production of the asset at SelectionStartDate in the headers default currency.
Assets AssetValuationsValuation,AcquisitionAndProductionCostsEnd,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAcquisitionAndProductionCostsEnd,,NUMERIC,Decimal,Total costs of acquisition and/or production of the asset at SelectionEndDate in the headers default currency.
Assets AssetSupplierPostalAddress,AdditionalAddressDetail,additionalAddressDetail,FA,MasterFiles,Assets AssetSupplierPostalAddressAdditionalAddressDetail,,TEXT,String,Address lines
Assets AssetSupplierPostalAddress,AddressType,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
Assets AssetValuationsValuation,AppreciationFor Period,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAppreciationFor Period,,NUMERIC,Decimal,Total Amount of appreciation during the Selectionperiod in the headers default currency.
Assets AssetValuationsValuation,AssetAddition,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAssetAddition,,NUMERIC,Decimal,Bookvalue of the acquisition and/or production of the asset in the selectionperiod in the header's default currency.
Assets AssetValuationsValuation,AssetDisopsal,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAssetDisopsal,,NUMERIC,Decimal,Book value of the disposal of the asset during the Selectionperiod in headers default currency.
Assets Asset,AssetID,#N/A,FA,MasterFiles,Assets AssetAssetID,,TEXT,String,Unique identifier of the asset
Assets AssetValuationsValuation,AssetLifeMonth,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAssetLifeMonth,,NUMERIC,Decimal,Period of useful life in months
Assets AssetValuationsValuation,AssetLifeYear,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAssetLifeYear,,NUMERIC,Decimal,Period of useful life in years
Assets AssetValuationsValuation,AssetValuationType,#N/A,FA,MasterFiles,Assets AssetValuationsValuationAssetValuationType,,TEXT,String,"Describes the purpose for the reporting,; commercial, tax in country 1, tax in country 2 etc."
Assets AssetValuationsValuation,BookValueBegin,#N/A,FA,MasterFiles,Assets AssetValuationsValuationBookValueBegin,,NUMERIC,Decimal,Book value at the beginning of the selectionperiod in the headers default currency.
Assets AssetValuationsValuation,BookValueEnd,#N/A,FA,MasterFiles,Assets AssetValuationsValuationBookValueEnd,,NUMERIC,Decimal,Bookvalue at the end of the Selectionperiod in the header's default currency.
Assets AssetSupplierPostalAddress,Building,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressBuilding,,TEXT,String,Building Address detail
Assets AssetSupplierPostalAddress,City,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressCity,,TEXT,String,City or main Town
Assets Asset,Dateof Acquisition,#N/A,FA,MasterFiles,Assets AssetDateof Acquisition,,DATE,Date,Date of the acquisition of the asset (usually the date of delivery)
Assets AssetValuationsValuation,DepreciationForPeriod,depreciationForPeriod,FA,MasterFiles,Assets AssetValuationsValuationDepreciationForPeriod,,NUMERIC,Decimal,Total Amount of normal depreciation during the Selectionperiod in the headers default currency.
Assets AssetValuationsValuation,DepreciationMethod,#N/A,FA,MasterFiles,Assets AssetValuationsValuationDepreciationMethod,,TEXT,String,Method of normal depreciation during the selection period.
Assets AssetValuationsValuation,DepreciationPercentage,#N/A,FA,MasterFiles,Assets AssetValuationsValuationDepreciationPercentage,,NUMERIC,decimal,The rate of the normal depreciation per year or month (depends on choice useful life period)
Assets Asset,Description,description,FA,MasterFiles,Assets AssetDescription,,TEXT,String,Description of Asset
Assets AssetValuationsValuationExtraordinaryDepreciationForPeriod,ExtroadinaryDepreciationForPeriod,#N/A,FA,MasterFiles,Assets AssetValuationsValuationExtraordinaryDepreciationForPeriodExtroadinaryDepreciationForPeriod,,NUMERIC,Decimal,Amount of extroadinary Depreciation during the selection period in the header's default currency.
Assets AssetValuationsValuation,InvestmentSupport,#N/A,FA,MasterFiles,Assets AssetValuationsValuationInvestmentSupport,,NUMERIC,Decimal,Total amount of investment support for this asset in the headers default currency.
Assets AssetSupplierPostalAddress,Number,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressNumber,,TEXT,String,Number of the building
Assets Asset,Other…,#N/A,FA,MasterFiles,Assets AssetOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
Assets Asset,PurchaseOrderDate,purchaseOrderDate,FA,MasterFiles,Assets AssetPurchaseOrderDate,,DATE,Date,Date of the purchase order of the asset
Assets Asset,StartUpDate,#N/A,FA,MasterFiles,Assets AssetStartUpDate,,DATE,Date,Commissioning date of the asset
Assets AssetSupplierPostalAddress,StreetName,#N/A,FA,MasterFiles,Assets AssetSupplierPostalAddressStreetName,,TEXT,String,Name of the street
Assets AssetSupplier,SupplierID,supplierId,FA,MasterFiles,Assets AssetSupplierSupplierID,,TEXT,String,Unique code for the supplier
Assets AssetSupplier,SupplierName,supplierName,FA,MasterFiles,Assets AssetSupplierSupplierName,,TEXT,String,Name of the supplier of the asset
Assets AssetValuationsValuation,Transfers,#N/A,FA,MasterFiles,Assets AssetValuationsValuationTransfers,,NUMERIC,Decimal,Book value of the transfer of the asset during the selectionperiod in the header's default currency.
Assets AssetValuationsValuation,ValuationClass,#N/A,FA,MasterFiles,Assets AssetValuationsValuationValuationClass,,TEXT,String,Describes the classification of the asset for tax reporting purposes.
CustomersCustomerAddress,Country,#N/A,AR,MasterFiles,CustomersCustomerAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
CustomersCustomer,AccountID,accountId,AR,MasterFiles,CustomersCustomerAccountID,,TEXT,String,"General Legder Account code for this customer. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
CustomersCustomerAddress,AdditionalAddressDetail,additionalAddressDetail,AR,MasterFiles,CustomersCustomerAddressAdditionalAddressDetail,,TEXT,String,Address lines
CustomersCustomerAddress,AddressType,#N/A,AR,MasterFiles,CustomersCustomerAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
CustomersCustomerBankAccount,BankAccountName,bankAccountName,AR,MasterFiles,CustomersCustomerBankAccountBankAccountName,,TEXT,String,The name of the individual or company holding the bank account.
CustomersCustomerBankAccount,BankAccountNumber,bankAccountNumber,AR,MasterFiles,CustomersCustomerBankAccountBankAccountNumber,,TEXT,String,The number allocated to the account by the individual's or company's own bank.
CustomersCustomerContactContactPerson,BirthName,#N/A,AR,MasterFiles,CustomersCustomerContactContactPersonBirthName,,TEXT,String,BirthName
CustomersCustomerAddress,Building,#N/A,AR,MasterFiles,CustomersCustomerAddressBuilding,,TEXT,String,Building Address detail
CustomersCustomerAddress,City,#N/A,AR,MasterFiles,CustomersCustomerAddressCity,,TEXT,String,City or main Town
CustomersCustomer,ClosingCreditBalance,#N/A,AR,MasterFiles,CustomersCustomerClosingCreditBalance,,NUMERIC,Decimal,Credit balance at the end date of the selection period in the headers default currency.
CustomersCustomer,ClosingDebitBalance,#N/A,AR,MasterFiles,CustomersCustomerClosingDebitBalance,,NUMERIC,Decimal,Debit balance at the end date of the selection period in the headers default currency.
CustomersCustomerContact,Email,email,AR,MasterFiles,CustomersCustomerContactEmail,,TEXT,String,Company e-mail address
CustomersCustomerContact,Fax,fax,AR,MasterFiles,CustomersCustomerContactFax,,TEXT,String,Company fax number
CustomersCustomerContactContactPerson,FirstName,firstName,AR,MasterFiles,CustomersCustomerContactContactPersonFirstName,,TEXT,String,FirstName
CustomersCustomerBankAccount,IBANNumber,IBANNumber,AR,MasterFiles,CustomersCustomerBankAccountIBANNumber,,TEXT,String,International Bank Account Number ISO 13616
CustomersCustomerContactContactPerson,Initials,#N/A,AR,MasterFiles,CustomersCustomerContactContactPersonInitials,,TEXT,String,Initials
CustomersCustomerContactContactPerson,LastName,lastName,AR,MasterFiles,CustomersCustomerContactContactPersonLastName,,TEXT,String,LastName
CustomersCustomerContactContactPerson,LastNamePrefix,#N/A,AR,MasterFiles,CustomersCustomerContactContactPersonLastNamePrefix,,TEXT,String,"A textual expression of a prefix that precedes the family persons family name such as Van, Von"
CustomersCustomer,Name,name,AR,MasterFiles,CustomersCustomerName,,TEXT,String,Customer name
CustomersCustomerAddress,Number,#N/A,AR,MasterFiles,CustomersCustomerAddressNumber,,TEXT,String,Number of the building
CustomersCustomer,OpeningCreditBalance,#N/A,AR,MasterFiles,CustomersCustomerOpeningCreditBalance,,NUMERIC,Decimal,Credit balance at the start date of the selection period in the headers default currency.
CustomersCustomer,OpeningDebitBalance,#N/A,AR,MasterFiles,CustomersCustomerOpeningDebitBalance,,NUMERIC,Decimal,Debit balance at the start date of the selection period in the headers default currency.
CustomersCustomerContactContactPerson,Other…,#N/A,AR,MasterFiles,CustomersCustomerContactContactPersonOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
CustomersCustomer,Other…,#N/A,AR,MasterFiles,CustomersCustomerOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
CustomersCustomerAddress,PostalCode,#N/A,AR,MasterFiles,CustomersCustomerAddressPostalCode,,TEXT,String,Post Code or Zip Code
CustomersCustomer,RegistrationNumber:,#N/A,AR,MasterFiles,CustomersCustomerRegistrationNumber:,,TEXT,String,"Unique number to identify the company in the accounting records, issued by a government authority or created by the company for internal purposes to identify different entities within their corporate group."
CustomersCustomerContactContactPerson,Salutation,#N/A,AR,MasterFiles,CustomersCustomerContactContactPersonSalutation,,TEXT,String,"A formal sign or expression of greeting, expressed as text, that is appropriate for the person such as Right Honourable, Monsignor or Madam."
CustomersCustomer,SelfBillingIndicator,selfBillingIndicator,AR,MasterFiles,CustomersCustomerSelfBillingIndicator,,TEXT,String,Indicator showing if a self-billing agreement exists between the customer and the supplier
CustomersCustomerBankAccount,SortCode,sortCode,AR,MasterFiles,CustomersCustomerBankAccountSortCode,,TEXT,String,Identifier for the bank branch at which the account in held. May be needed to uniquely identify the account.
CustomersCustomerAddress,StreetName,#N/A,AR,MasterFiles,CustomersCustomerAddressStreetName,,TEXT,String,Name of the street
CustomersCustomerTaxRegistration,TaxNumber,taxNumber,AR,MasterFiles,CustomersCustomerTaxRegistrationTaxNumber,,TEXT,String,The tax registration number for the particular tax regime referred to by TaxType f.i VAT number.
CustomersCustomerTaxRegistration,TaxRegistrationNumber,taxRegistrationNumber,AR,MasterFiles,CustomersCustomerTaxRegistrationTaxRegistrationNumber,,TEXT,String,Unique number issued by a Revenue Body for use by the company.
CustomersCustomerTaxRegistration,TaxType,taxType,AR,MasterFiles,CustomersCustomerTaxRegistrationTaxType,,TEXT,String,For use where information reported in the SAF-T covers more than one type of tax regime: to identify the type of tax regime; to identify the type of tax regime to which the entity relates.
CustomersCustomerTaxRegistration,TaxVerificationDate,taxVerificationDate,AR,MasterFiles,CustomersCustomerTaxRegistrationTaxVerificationDate,,DATE,Date,The date that the tax registration details referred to above were last checked.
CustomersCustomerContact,Telephone,telephone,AR,MasterFiles,CustomersCustomerContactTelephone,,TEXT,String,Company telephone number
CustomersCustomerContactContactPerson,Title,title,AR,MasterFiles,CustomersCustomerContactContactPersonTitle,,TEXT,String,Title
CustomersCustomerContact,Website,website,AR,MasterFiles,CustomersCustomerContactWebsite,,TEXT,String,Company website URL
CustomersCustomerAddress,Region,#N/A,AR,MasterFiles,CustomersCustomerAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
CustomersCustomerTaxRegistration,TaxAuthority,taxAuthority,AR,MasterFiles,CustomersCustomerTaxRegistrationTaxAuthority,,TEXT,String,Identification of the Revenue Body to which this taxtype refers.
CustomersCustomer,CustomerID,customerId,AR,MasterFiles,CustomersCustomerCustomerID,,TEXT,String,Unique code for the customer 
GeneralLedgerAccountsAccount,ClosingCreditBalance,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountClosingCreditBalance,,NUMERIC,Decimal,Credit balance at the end date of the selection period in the headers default currency.
GeneralLedgerAccountsAccount,ClosingDebitBalance,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountClosingDebitBalance,,NUMERIC,Decimal,Debit balance at the end date of the selection period in the headers default currency.
GeneralLedgerAccountsAccount,OpeningCreditBalance,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountOpeningCreditBalance,,NUMERIC,Decimal,Credit balance at the opening date of the selection period in the headers default currency.
GeneralLedgerAccountsAccount,OpeningDebitBalance,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountOpeningDebitBalance,,NUMERIC,Decimal,Debit balance at the opening  date of the selection period in the headers default currency.
GeneralLedgerAccountsAccount,AccountDescription,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountAccountDescription,,TEXT,String,Name of individual GL account
GeneralLedgerAccountsAccount,AccountID,accountId,GL,Masterfiles,GeneralLedgerAccountsAccountAccountID,,TEXT,String,GL Code for individual account
GeneralLedgerAccountsAccount,AccountType,accountType,GL,Masterfiles,GeneralLedgerAccountsAccountAccountType,,TEXT,String,Type of account- Asset/Liability/Sale/Expense
GeneralLedgerAccountsAccount,AccountCreationDate,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountAccountCreationDate,,DATE,Date,Date of creating the generalledger account
GeneralLedgerAccountsAccount,GroupingCategory,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountGroupingCategory,,TEXT,String,"Category for grouping the accounts, relevant in reconciling financial statements"
GeneralLedgerAccountsAccount,GroupingCode,groupingCode,GL,Masterfiles,GeneralLedgerAccountsAccountGroupingCode,,TEXT,String,"Subcode for grouping the accounts, relevant in reconciling financial statements."
GeneralLedgerAccountsAccount,Other…,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
GeneralLedgerAccountsAccount,StandardAccountID,#N/A,GL,Masterfiles,GeneralLedgerAccountsAccountStandardAccountID,,TEXT,String,AccountID based on a standard prescribed by authorities.
MovementTypeTableMovementTypeTableEntry,Description,description,IV,MasterFiles,MovementTypeTableMovementTypeTableEntryDescription,,TEXT,String,Description of movement (sub)type
MovementTypeTableMovementTypeTableEntry,MovementType,#N/A,IV,MasterFiles,MovementTypeTableMovementTypeTableEntryMovementType,,TEXT,String,"Identify Kind of movement or movement line e.g sale purchase adjustment etc. Or efficiencyloss, use of components in production, etc Predescribed TABLE is possible."
OwnersOwnerAddress,Country,#N/A,GL,MasterFiles,OwnersOwnerAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
OwnersOwnerAddress,Region,#N/A,GL,MasterFiles,OwnersOwnerAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
OwnersOwnerTaxRegistration,TaxAuthority,taxAuthority,GL,MasterFiles,OwnersOwnerTaxRegistrationTaxAuthority,,TEXT,String,Identification of the Revenue Body to which this taxtype refers.
OwnersOwner,AccountID,accountId,GL,MasterFiles,OwnersOwnerAccountID,,TEXT,String,"General Ledger Account code for this owner. Can be including sub-account id. It can contain many different levels to identify the account. It could include cost centres such as company, division, region, group and branch/department."
OwnersOwnerAddress,AdditionalAddressDetail,additionalAddressDetail,GL,MasterFiles,OwnersOwnerAddressAdditionalAddressDetail,,TEXT,String,Address lines
OwnersOwnerAddress,AddressType,#N/A,GL,MasterFiles,OwnersOwnerAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
OwnersOwnerBankAccount,BankAccountName,bankAccountName,GL,MasterFiles,OwnersOwnerBankAccountBankAccountName,,TEXT,String,The name of the individual or company holding the bank account.
OwnersOwnerBankAccount,BankAccountNumber,bankAccountNumber,GL,MasterFiles,OwnersOwnerBankAccountBankAccountNumber,,TEXT,String,The number allocated to the account by the individual's or company's own bank.
OwnersOwnerContactContactPerson,BirthName,#N/A,GL,MasterFiles,OwnersOwnerContactContactPersonBirthName,,TEXT,String,BirthName
OwnersOwnerAddress,Building,#N/A,GL,MasterFiles,OwnersOwnerAddressBuilding,,TEXT,String,Building Address detail
OwnersOwnerAddress,City,#N/A,GL,MasterFiles,OwnersOwnerAddressCity,,TEXT,String,City or main Town
OwnersOwnerContact,Email,email,GL,MasterFiles,OwnersOwnerContactEmail,,TEXT,String,Company e-mail address
OwnersOwnerContact,Fax,fax,GL,MasterFiles,OwnersOwnerContactFax,,TEXT,String,Company fax number
OwnersOwnerContactContactPerson,FirstName,firstName,GL,MasterFiles,OwnersOwnerContactContactPersonFirstName,,TEXT,String,FirstName
OwnersOwnerBankAccount,IBANNumber,IBANNumber,GL,MasterFiles,OwnersOwnerBankAccountIBANNumber,,TEXT,String,International Bank Account Number ISO 13616
